City name,City code,FUA name,Area in km2,Tree cover [%],Tree cover [km2]
Oulu / Uleåborg,FI004C3,Oulu,3156,77.54,2447
Kuopio,FI008C3,Kuopio,3737,64.19,2399
Umeå,SE005C1,Umeå,2391,81.71,1953
Uppsala,SE006C1,Uppsala,2248,66.77,1501
Jönköping,SE004C1,Jönköping,1937,57.90,1122
Jyväskylä,FI009C1,Jyväskylä,1465,70.67,1036
Norrköping,SE502C1,Norrköping,1599,59.61,953
Örebro,SE008C1,Örebro,1631,52.07,849
Linköping,SE007C1,Linköping,1578,50.89,803
Cáceres,ES034C1,Cáceres,1750,45.41,795
Borås,SE505C1,Borås,974,77.98,759
Tromsø,NO006C1,Tromsø,2516,28.44,715
Cuenca,ES542C1,Cuenca,911,77.33,704
Badajoz,ES017C1,Badajoz,1440,40.34,581
Västerås,SE501C1,Västerås,1142,45.93,524
Lorca,ES545C1,Lorca,1675,28.56,478
Mérida,ES546C1,Mérida,866,48.72,422
Tampere / Tammerfors,FI002C1,Tampere,689,60.33,416
Córdoba,ES020C1,Córdoba,1255,31.32,393
Berlin,DE001C1,Berlin,892,43.78,390
Istanbul(FUA name),TR005C1,Istanbul,193,21.06,41
Istanbul(FUA name),TR012C1,Istanbul,1851,17.24,319
Istanbul(FUA name),TR017C1,Istanbul,123,7.51,9
Murcia,ES007C1,Murcia,886,39.10,346
Oslo,NO001C1,Oslo,454,72.03,327
Viseu,PT014C1,Viseu,507,61.50,312
Roma,IT001C1,Roma,1286,24.08,310
Jaén,ES527C1,Jaén,424,72.28,307
Zagreb,HR001C1,Grad Zagreb,641,46.09,296
Bergen,NO002C1,Bergen,465,59.21,275
Jerez de la Frontera,ES508C1,Jerez de la Frontera,1188,21.28,253
Hamburg,DE002C1,Hamburg,739,33.54,248
Madrid,ES001C1,Madrid,605,39.43,239
Arezzo,IT519C1,Arezzo,384,58.43,225
Göteborg,SE002C1,Göteborg,456,48.52,221
Kristiansand,NO005C1,Kristiansand,274,78.97,217
Trondheim,NO003C1,Trondheim,342,62.03,212
Málaga,ES006C1,Málaga,396,53.58,212
Aalborg,DK004C2,Aalborg,1137,18.12,206
Warszawa,PL001C1,Warszawa,517,39.66,205
Andria,IT524C1,Andria,400,49.11,196
Apeldoorn,NL014C1,Apeldoorn,341,57.33,196
L'Aquila,IT526C1,L'Aquila,473,41.23,195
Espoo / Esbo,FI005C1,Helsinki,324,59.93,194
Baia Mare,RO507C1,Baia Mare,231,83.27,192
Vilnius,LT001C1,Vilnius,401,47.15,189
Debrecen,HU005C1,Debrecen,462,39.93,184
Lugo,ES031C1,Lugo,330,54.60,180
Coimbra,PT005C1,Coimbra,319,52.52,168
Ankara(FUA name),TR001C1,Ankara,621,26.65,166
Sofia,BG001C1,Sofia,450,36.77,165
Paris,FR001P1,Paris,800,20.44,164
Miskolc,HU002C1,Miskolc,237,67.36,159
Sassari,IT026C1,Sassari,547,28.21,154
Perugia,IT016C1,Perugia,449,33.89,152
Greater Ede                      ,NL512C2,Ede,351,41.71,146
Praha,CZ001C1,Praha,496,28.60,142
Wien,AT001C1,Wien,415,33.77,140
Viana do Castelo,PT016C1,Viana do Castelo,319,43.76,140
Genova,IT006C1,Genova,240,57.96,139
Ljubljana,SI001C1,Ljubljana,275,50.27,138
Budapest,HU001C1,Budapest,525,26.05,137
Terni,IT515C1,Terni,212,63.50,135
Ponferrada,ES057C1,Ponferrada,283,47.20,134
Bratislava,SK001C1,Bratislava,368,36.11,133
Linares,ES544C1,Linares,197,67.47,133
Adana-Mersin(FUA name),TR002C1,Adana-Mersin,363,36.22,131
Rīga,LV001C1,Rīga,304,43.03,131
Cartagena,ES506C1,Cartagena,558,23.44,131
Lund,SE504C1,Malmö,443,29.37,130
Dresden,DE009C1,Dresden,328,38.80,127
Köln,DE004C1,Köln,407,30.04,122
Santiago de Compostela,ES011C1,Santiago de Compostela,220,55.02,121
Turku / Åbo,FI003C1,Turku,246,48.89,121
Bitonto,IT062C1,Bari,173,68.65,119
Szczecin,PL007C1,Szczecin,301,38.89,117
Grosseto,IT520C1,Grosseto,473,24.06,114
Dessau-Roßlau,DE082C1,Dessau-Roßlau,246,45.57,112
Vantaa / Vanda,FI006C1,Helsinki,240,46.56,112
North Lanarkshire (Airdrie/Bellshill/Coatbridge/Motherwell),UK502C1,Glasgow,472,23.62,112
Łódź,PL002C1,Łódź,293,37.79,111
Fréjus,FR099C1,Fréjus,196,56.62,111
Reggio di Calabria,IT025C1,Reggio di Calabria,237,46.19,109
Saarbrücken,DE040C1,Saarbrücken,169,63.78,108
Košice,SK002C1,Košice,244,43.59,106
Trento,IT014C1,Trento,158,66.93,106
Guimarães,PT505C1,Guimarães,241,42.72,103
Izmir(FUA name),TR013C1,Izmir,411,22.47,92
Izmir(FUA name),TR020C1,Izmir,55,18.01,10
Tunbridge Wells,UK040C1,London,331,30.91,102
Guildford,UK033C1,Guildford,271,36.88,100
Katowice,PL010C1,Katowice,165,60.68,100
Brno,CZ002C1,Brno,230,43.02,99
Kaiserslautern,DE044C1,Kaiserslautern,140,69.94,98
Sliven,BG009C1,Sliven,194,49.78,97
Brandenburg an der Havel,DE056C1,Brandenburg an der Havel,229,40.82,94
Greater Rotterdam        ,NL003C2,Rotterdam,563,16.42,92
Lecce,IT037C1,Lecce,236,38.90,92
Messina,IT501C1,Messina,211,43.28,91
Hagen,DE511C1,Ruhrgebiet,160,57.00,91
Helsinki / Helsingfors,FI001C2,Helsinki,208,43.74,91
Villingen-Schwenningen,DE051C1,Villingen-Schwenningen,165,54.77,90
Poznań,PL005C1,Poznań,262,34.50,90
Cerignola,IT067C1,Cerignola,590,15.23,90
Århus,DK002C1,Århus,474,18.87,89
Siracusa,IT509C1,Siracusa,206,43.01,89
Kraków,PL003C1,Kraków,327,27.14,89
Gdańsk,PL006C1,Gdańsk,261,33.84,88
Wrocław,PL004C1,Wrocław,293,29.89,88
Sintra,PT501C1,Lisboa,319,27.36,87
Oviedo,ES013C1,Oviedo,187,46.75,87
Bielefeld,DE017C1,Bielefeld,258,33.65,87
Antakya(FUA name),TR011C1,Antakya,179,48.56,87
Celle,DE060C1,Celle,176,49.14,87
Münster,DE504C1,Münster,303,28.48,86
Ragusa,IT523C1,Ragusa,442,19.32,85
Wiesbaden,DE020C1,Wiesbaden,204,41.18,84
Swansea,UK517C1,Swansea,381,21.89,83
Stuttgart,DE007C1,Stuttgart,210,39.69,83
Sagunto,ES547C1,Sagunto,132,62.69,83
Dortmund,DE010C1,Ruhrgebiet,280,29.48,82
Pécs,HU004C1,Pécs,163,50.45,82
Vitoria/Gasteiz,ES012C1,Vitoria/Gasteiz,277,29.45,82
Leeds,UK003C1,Leeds,552,14.72,81
Marseille,FR203C1,Marseille,297,27.17,81
Freiburg im Breisgau,DE027C1,Freiburg im Breisgau,154,52.15,80
Bydgoszcz,PL008C1,Bydgoszcz,176,45.64,80
Kecskemét,HU008C1,Kecskemét,323,24.89,80
Albacete,ES519C1,Albacete,1126,7.12,80
