;FUA name;green;FUA_CODE;NUTS;NAME;COUNT;H_RATE
0;Wien;27,00666956;AT001;AT112;Nordburgenland;1;0,63
1;Wien;27,00666956;AT001;AT125;Weinviertel;1;0,8
2;Wien;27,00666956;AT001;AT126;Wiener Umland/Nordteil;2;0,61
3;Wien;27,00666956;AT001;AT127;Wiener Umland/Sudteil;3;0,88
4;Wien;27,00666956;AT001;AT130;Wien;34;1,8
5;Graz;52,70830897;AT002;AT221;Graz;3;0,68
6;Graz;52,70830897;AT002;AT224;Oststeiermark;1;0,38
7;Graz;52,70830897;AT002;AT225;West- und Sudsteiermark;1;0,52
8;Linz;41,52721466;AT003;AT312;Linz-Wels;1;0,17
9;Linz;41,52721466;AT003;AT313;Muhlviertel;1;0,48
10;Salzburg;47,76894648;AT004;AT323;Salzburg Und Umgebung;2;0,55
11;Innsbruck;42,8052467;AT005;AT332;Innsbruck;1;0,32
12;Klagenfurt;64,3750607;AT006;AT211;Klagenfurt-Villach;2;0,7
13;Klagenfurt;64,3750607;AT006;AT213;Unterkarnten;0;0
14;Bruxelles / Brussel;24,00086781;BE001;BE100;Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad;33;2,74
15;Bruxelles / Brussel;24,00086781;BE001;BE231;Arr. Aalst;2;0,69
16;Bruxelles / Brussel;24,00086781;BE001;BE241;Arr. Halle-Vilvoorde;8;1,26
17;Bruxelles / Brussel;24,00086781;BE001;BE310;Arr. Nivelles;3;0,75
18;Antwerpen;28,23818018;BE002;BE211;Arr. Antwerpen;11;1,05
19;Antwerpen;28,23818018;BE002;BE236;Arr. Sint-Niklaas;1;0,4
20;Gent;17,56269716;BE003;BE233;Arr. Eeklo;1;1,18
21;Gent;17,56269716;BE003;BE234;Arr. Gent;5;0,9
22;Charleroi;27,12578714;BE004;BE353;Arr. Philippeville;1;1,49
23;Liège;31,38183942;BE005;BE331;Arr. Huy;3;2,65
24;Liège;31,38183942;BE005;BE332;Arr. Liege;26;4,15
25;Liège;31,38183942;BE005;BE334;Arr. Waremme;0;0
26;Brugge;20,71156245;BE006;BE251;Arr. Brugge;3;1,06
27;Namur;31,95193774;BE007;BE352;Arr. Namur;10;3,16
28;Leuven;32,52401202;BE008;BE242;Arr. Leuven;2;0,4
29;Mons;29,62393064;BE009;BE323;Arr. Mons;7;2,7
30;Kortrijk;13,12069755;BE010;BE254;Arr. Kortrijk;4;1,38
31;Oostende;7,944350041;BE011;BE255;Arr. Oostende;3;1,92
32;Sofia;52,84577657;BG001;BG411;Sofia (stolitsa);11;0,83
33;Sofia;52,84577657;BG001;BG412;Sofia;7;3,02
34;Sofia;52,84577657;BG001;BG414;Pernik;1;0,82
35;Plovdiv;35,54436063;BG002;BG421;Plovdiv;6;0,9
36;Varna;52,55970433;BG003;BG331;Varna;4;0,85
37;Burgas;36,92128351;BG004;BG341;Burgas;5;1,21
38;Pleven;17,9500206;BG005;BG314;Pleven;4;1,64
39;Ruse;21,19527099;BG006;BG323;Ruse;5;2,26
40;Vidin;18,76667312;BG007;BG311;Vidin;1;1,15
41;Stara Zagora;35,16290415;BG008;BG344;Stara Zagora;1;0,31
42;Sliven;47,44262527;BG009;BG342;Sliven;5;2,65
43;Dobrich;19,01846639;BG010;BG332;Dobrich;2;1,14
44;Shumen;26,75261575;BG011;BG333;Shumen;3;1,73
45;Yambol;13,0295441;BG013;BG343;Yambol;1;0,83
46;Haskovo;30,27221911;BG014;BG422;Haskovo;3;1,3
47;Pazardzhik;16,74931977;BG015;BG423;Pazardzhik;4;1,55
48;Blagoevgrad;63,88495222;BG016;BG413;Blagoevgrad;3;0,97
49;Veliko Tarnovo;56,73443789;BG017;BG321;Veliko Tarnovo;5;2,09
50;Vratsa;40,68530393;BG018;BG313;Vratsa;3;1,81
51;Zürich;39,3486099;CH001;CH040;Zurich;7;0,47
52;Genève;40,16567589;CH002;CH011;Vaud;6;0,76
53;Genève;40,16567589;CH002;CH013;Geneve;3;0,61
54;Basel;48,00576571;CH003;CH031;Basel-Stadt;1;0,52
55;Basel;48,00576571;CH003;CH032;Basel-Landschaft;1;0,35
56;Bern;35,04680879;CH004;CH021;Bern;7;0,68
57;St. Gallen;36,47154764;CH007;CH053;Appenzell Ausserrhoden;0;0
58;St. Gallen;36,47154764;CH007;CH055;St. Gallen;3;0,59
59;Luzern;38,05661677;CH008;CH061;Luzern;2;0,49
60;Lugano;75,70089895;CH009;CH070;Ticino;1;0,28
61;Lefkosia;29,0095322;CY001;CY000;Kypros;14;1,62
62;Praha;34,01554107;CZ001;CZ010;Hlavni mesto Praha;17;1,31
63;Praha;34,01554107;CZ001;CZ020;Stredocesky kraj;17;1,26
64;Brno;36,88555231;CZ002;CZ064;Jihomoravsky kraj;16;1,35
65;Ostrava;39,19515244;CZ003;CZ080;Moravskoslezsky kraj;7;0,58
66;Plze?;44,25386018;CZ004;CZ032;Plzensky kraj;6;1,03
67;Ústí nad Labem;54,66409321;CZ005;CZ042;Ustecky kraj;11;1,34
68;Olomouc;28,07133491;CZ006;CZ071;Olomoucky kraj;11;1,74
69;Liberec;57,49347041;CZ007;CZ051;Liberecky kraj;2;0,45
70;?eské Bud?jovice;39,45416852;CZ008;CZ031;Jihocesky kraj;7;1,09
71;Hradec Králové;28,28361981;CZ009;CZ052;Kralovehradecky kraj;4;0,73
72;Pardubice;26,64235006;CZ010;CZ053;Pardubicky kraj;5;0,96
73;Zlín;47,01715414;CZ011;CZ072;Zlinsky kraj;7;1,2
74;Karlovy Vary;64,56154438;CZ013;CZ041;Karlovarsky kraj;3;1,01
75;Jihlava;39,38804822;CZ014;CZ063;Kraj Vysocina;3;0,59
76;Berlin;45,71617061;DE001;DE300;Berlin;36;1
77;Berlin;45,71617061;DE001;DE401;Brandenburg an der Havel, Kreisfreie Stadt;0;0
78;Berlin;45,71617061;DE001;DE403;Frankfurt (Oder), Kreisfreie Stadt;0;0
79;Berlin;45,71617061;DE001;DE404;Potsdam, Kreisfreie Stadt;2;1,14
80;Berlin;45,71617061;DE001;DE405;Barnim;1;0,55
81;Berlin;45,71617061;DE001;DE406;Dahme-Spreewald;0;0
82;Berlin;45,71617061;DE001;DE408;Havelland;0;0
